tag1	tag2	tag3	tag4	artist	count(1)
60s	Psychedelic Rock	psychedelic	classic rock	The Move	1
60s	classic rock	rock	soul	Box Tops	2
60s	classic rock	rock	soul	The Box Tops	7
60s	female vocalists	pop	oldies	Nancy Sinatra	2
60s	oldies	rock	Soundtrack	Bruce Channel	2
60s	pop	soul	oldies	The Ronettes	1
80ies	comedy	unknown	All	Unknown	3
80s				Génération 80	1
80s	70s	Disco	pop	Neoton Familia	3
80s	Disco	pop	dance	Modern Talking	2
80s	french	pop	chanson	François Valéry	1
80s	new wave	french	synthpop	Desireless	1
80s	new wave	pop	british	Culture Club	2
80s	pop	soft rock	rock	Cock Robin	6
80s	pop	soft rock	singer-songwriter	Black	2
90s	eurodance	dance	french	Patsy	1
All				Harmonie Bayonnaise	2
All	ambient	electronic	french	Naps	1
All	punk	psychedelic pop	psychedelic folk	Arthur	2
All	spotify			Eloquence & Kayliah	1
Bossa Nova	brazilian	mpb	jazz	Marcos Valle	3
Bossa Nova	lounge	chillout	trip-hop	Scubba	4
China				Technasia & Green Velvet	1
Classical	baroque	instrumental	composers	Vivaldi	2
Classical	opera	italian	male vocalists	Andrea Bocelli	1
Disco	70s	soul	female vocalists	Gloria Gaynor	3
Disco	80s	pop	70s	Ottawan	1
Disco	electronic	synthpop	Soundtrack	Moroder	1
Disco	french	70s	chanson francaise	Patrick Juvet	1
Disco	funk	80s	dance	Indeep	2
Disco	funk	soul	70s	Chic	1
Disco	latin	70s	Soundtrack	Santa Esmeralda	3
Disco	nu disco	nu-disco	space disco	The Swiss	1
Disco	pop	70s	80s	Village People	2
Disco	pop	70s	classic rock	Andy Gibb	2
Disco	pop	70s	classic rock	Bee Gees	24
Disco	pop	70s	dance	Donna Summer	2
Disco	pop	soul	80s	The Pointer Sisters	3
Drum and bass	electronic	Drum n Bass	dnb	Pendulum	1
Drum and bass	jungle	electronic	Drum n Bass	T Power	1
Electroclash	ethno	electro	electronic	Skip&Die	2
Flamenco	latin	spanish	guitar	Gipsy Kings	13
Folk Music	folk	Old French folk		Chanson Française	1
French rock	rock			Cachemire	3
Garage Rock	rock	indie	swedish	The Hives	3
Gothic Metal	metal	Female fronted metal	female vocalists	Lacuna Coil	6
Gothic Rock	rock	female vocalists	alternative	Evanescence	6
Greek	pop	male vocalists	Greek Pop	Sakis	2
Grunge	japanese	hardcore	noise	Sunday Bloody Sunday	4
Grunge	rock	alternative rock	alternative	Nirvana	10
Grunge	rock	alternative rock	singer-songwriter	Chris Cornell	1
Hip-Hop	british	Grime	rap	Plan B	1
Hip-Hop	chile	rap	female vocalists	Makiza	3
Hip-Hop	electronic	french	hip hop	Maniacx	1
Hip-Hop	french	punk	rap	Stupeflip	1
Hip-Hop	french	rap	france	Ninho	1
Hip-Hop	french	rap	french hip-hop	Mc Solaar	1
Hip-Hop	french	rap	rap francais	La Fouine	1
Hip-Hop	french	rap	rap francais	Ntm	1
Hip-Hop	french	rap	rap francais	Suprême Ntm	4
Hip-Hop	french rap	rap	rap francais	Booba	1
Hip-Hop	funk	french	rap	Alliance Ethnik	2
Hip-Hop	hardcore rap	Gangsta Rap	rap	Onyx	79
Hip-Hop	pop	rnb	rap	Black Eyed Peas	2
Hip-Hop	pop	rnb	rap	The Black Eyed Peas	6
Hip-Hop	rap	90s	hip hop	Kris Kross	1
Hip-Hop	rap	Gangsta Rap	west coast	Dr  Dre	1
Hip-Hop	rap	afrikaans	next level beats	Die Antwoord	4
Hip-Hop	rap	alternative	hip hop	Beastie Boys	103
Hip-Hop	rap	alternative	hip hop	Beasty Boys	2
Hip-Hop	rap	alternative	hip hop	Fatboy Slim & Beasty Boys	2
Hip-Hop	rap	alternative	hip hop	The Beastie Boys	4
Hip-Hop	rap	east coast rap	hip hop	Nas	2
Hip-Hop	rap	female vocalists	80s	Salt-N-Pepa	1
Hip-Hop	rap	french	french rap	Fonky Family	2
Hip-Hop	rap	french	french rap	Iam	6
Hip-Hop	rap	french hip-hop	french rap	Shurik N	1
Hip-Hop	rap	hip hop	Kanye West	Jay-Z & Kanye West	2
Hip-Hop	rap	hip hop	east coast rap	Jay-Z	1
Hip-Hop	rap	hip hop	eurorap	Down Low	1
Hip-Hop	rap	hip hop	indie	Childish Gambino	1
Hip-Hop	rap	old school	80s	Run Dmc Aerosmith	5
Hip-Hop	rap	old school	80s	Run-Dmc	3
Hip-Hop	rap	old school	hip hop	House Of Pain	3
Hip-Hop	rap	old school	hip hop	Sugar Hill Gang	2
Hip-Hop	rap	rap francais	french	Soprano	2
Hip-Hop	rap	rap francais	french rap	113	2
Hip-Hop	rap	rapcore	hip hop	Cypress Hill	15
Hip-Hop	rap	rnb	hip hop	Russ	1
Hip-Hop	rap	soul	rnb	Fugees	6
Hip-Hop	rap	soul	rnb	The Fugees	4
Hip-Hop	reggae	rap	rnb	Wyclef Jean	2
Hip-Hop	rnb	female vocalists	british	Ms Dynamite	2
Hip-Hop	rnb	french	pop	K Maro	1
Hip-Hop	rnb	french pop	france	Marwa Loud	1
Hip-Hop	rnb	rap	hip hop	Madcon	3
Hip-Hop	rnb	rap	hip hop	Pharrell Williams	2
Hip-Hop	soul	jay z	Alicia Keys	Jay-Z Feat  Alicia Keys	1
Hip-Hop	techno	french hip-hop	rap	Veerus	1
Hip-Hop	trip-hop	reggae	alternative	Mattafix	2
Hip-Hop	turntablism	french rap	french	Ntm-Cut Killer	1
Home collection				Shirley & Co	2
House	Progressive House	electronic	electro	Steve Angello	1
House	dance	Progressive House	electronic	Deorro	2
House	dance	electronic	90s	Nightcrawlers	1
House	dance	electronic	club	David Guetta	4
House	dance	electronic	electro	Guru Josh Project	1
House	dance	electronic	french	Bob Sinclar	1
House	dance	techno	pop	The Beatmasters	3
House	dance	vocal house	techno	Celeda	1
House	deep house	dutch	electronic	Bakermat	1
House	deep house	electronic	nu disco	Claptone	1
House	electronic	DIsco House	funky	Duck Sauce	2
House	electronic	USA	EDM	Wuki	2
House	electronic	australia	australian	Shouse	1
House	electronic	chillout	DIsco House	Flight Facilities	2
House	electronic	dance	Progressive House	Avicii	1
House	electronic	dance	club	Armand Van Helden	1
House	electronic	dance	french	Modjo	1
House	electronic	dance	french house	Stardust	1
House	electronic	dance	funk	The Supermen Lovers	1
House	electronic	synthpop	USA	Lp Giobbi	1
House	french	dance	electronic	Kungs	3
House	minimal	electronic	techno	Samim	1
House	puerto rico			The Rivera Project	2
House	techno	dance	electronic	Dj  Dero	3
House	techno	dance	electronic	Jaydee	1
I want to have sex with this song				Rammstein Official	25
Italo Disco	electronic	Disco	new wave	Topo & Roby	1
Leo Moracchioli				Frog Leap Studios	11
Lo-Fi	mistagged artist	eisregen black-metal	i am too lazy to make tags right	12	1
Love Metal	Gothic Rock	rock	finnish	Him	1
Martinique	west indies			David Martial	3
Melodic Death Metal	Power metal	Progressive metal	Extreme Power Metal	Raintime	1
Melodic Death Metal	death metal	Female fronted metal	swedish	Arch Enemy	1
Melodic Death Metal	death metal	Power metal	metal	Children Of Bodom	1
Melodic Death Metal	death metal	finnish	metal	Insomnium	1
Melodic Death Metal	death metal	metal	swedish	In Flames	189
Melodic Death Metal	death metal	metal	swedish	Inflames	6
