artist	nbr	tag1	tag2	artist:1
Depeche Mode	335	electronic	new wave	Depeche Mode
Iron Maiden	283	heavy metal	metal	Iron Maiden
Nofx	260	punk	punk rock	Nofx
Metallica	221	thrash metal	metal	Metallica
Dropkick Murphys	221	punk	punk rock	Dropkick Murphys
In Flames	198	Melodic Death Metal	metal	In Flames
No Use For A Name	160	punk rock	punk	No Use For A Name
Incubus	149	alternative rock	rock	Incubus 
Pennywise	140	punk	punk rock	Pennywise
Nick Cave	134	rock	singer-songwriter	Nick Cave
Serge Gainsbourg	121	french	chanson francaise	Serge Gainsbourg
Soulfly	118	thrash metal	metal	Soulfly
Agnostic Front	118	hardcore	hardcore punk	Agnostic Front
The Beatles	117	classic rock	rock	The Beatles
Clawfinger	109	rapcore	crossover	Clawfinger
Lagwagon	107	punk	punk rock	Lagwagon
Beastie Boys	106	Hip-Hop	rap	Beastie Boys
The Cure	104	post-punk	new wave	The Cure
Sepultura	102	thrash metal	metal	Sepultura
Nick Cave & The Bad Seeds	101	post-punk	rock	Nick Cave & The Bad Seeds
Indochine	88	french	new wave	Indochine
Satanic Surfers	86	punk rock	punk	Satanic Surfers
Biohazard	85	hardcore	crossover	Biohazard
The Police	82	rock	classic rock	The Police
Onyx	79	Hip-Hop	rap	Onyx
Kraftwerk	79	electronic	synthpop	Kraftwerk
Slayer	78	thrash metal	metal	Slayer
System Of A Down	77	metal	alternative metal	System Of A Down
Dark Tranquillity	77	Melodic Death Metal	death metal	Dark Tranquillity
Dark Tranquility	77	Melodic Death Metal	death metal	Dark Tranquility
Sup	75	Dark metal	Progressive metal	Sup
Muse	74	alternative rock	rock	Muse
Joy Division	72	post-punk	new wave	Joy Division
Infectious Grooves	71	funk metal	funk	Infectious Grooves
Five Finger Death Punch	71	metalcore	groove metal	Five Finger Death Punch
Moby	67	electronic	ambient	Moby
Hatebreed	67	hardcore	metalcore	Hatebreed
Daft Punk	65	electronic	House	Daft Punk
Deftones	62	Nu Metal	metal	Deftones
Megadeth	59	thrash metal	heavy metal	Megadeth
X-Ray Dog	55	Soundtrack	instrumental	X-Ray Dog
01	55	mysterious	mistagged artist	01
Mass Hysteria	54	metal	Nu Metal	Mass Hysteria
Keren Ann	54	female vocalists	french	Keren Ann
Dog Eat Dog	54	crossover	rapcore	Dog Eat Dog
03	54	mysterious	mistagged artist	03
05	53	mysterious	mistagged artist	05
04	53	mysterious	mistagged artist	04
Rob Zombie	52	industrial metal	metal	Rob Zombie
02	52	mysterious	mistagged artist	02
Wisdom In Chains	51	hardcore	hardcore punk	Wisdom In Chains
07	51	mysterious	mistagged artist	07
06	51	mysterious	mistagged artist	06
M	49	french	pop	M
Red Hot Chili Peppers	48	rock	alternative rock	Red Hot Chili Peppers
Abba	48	pop	Disco	Abba
09	48	punk	post-hardcore	09
08	48	mysterious	mistagged artist	08
Michael Jackson	47	pop	80s	Michael Jackson
Artsonic	47	Nu Metal	Nu-metal	Artsonic
U2	45	rock	classic rock	U2
Queen	45	classic rock	rock	Queen
La Rue Ketanou	45	french	chanson francaise	La Rue Ketanou
Simply Red	44	pop	80s	Simply Red
Sidilarsen	44	frenchcore	industrial	Sidilarsen
Les Croquants	44	chanson francaise	french	Les Croquants
Kings Of Leon	44	rock	indie	Kings Of Leon
R E M 	43	rock	alternative rock	R E M 
Lag Wagon	43	punk	punk rock	Lag Wagon
10	43	noise	metal	10
La Compagnie Creole	42	french	zouk	La Compagnie Creole
Manu Chao	41	reggae	latin	Manu Chao
Barbra Streisand	41	female vocalists	pop	Barbra Streisand
Radiohead	38	alternative	alternative rock	Radiohead
Morcheeba	38	trip-hop	chillout	Morcheeba
Gojira	38	death metal	Progressive metal	Gojira
Louis Armstrong	37	jazz	blues	Louis Armstrong
Da	37	post-punk	Gothic Rock	Da
The Asteroids Galaxy Tour	35	indie	alternative	The Asteroids Galaxy Tour
Supuration	34	death metal	progressive death metal	Supuration
Madness	34	ska	80s	Madness
11	34	electronic	rock	11
The Cranberries	33	rock	alternative	The Cranberries
Guns N  Roses	33	hard rock	rock	Guns N  Roses
Artist	33	rock	Queen	Artist
Shaka Ponk	32	electronic	alternative	Shaka Ponk
Loudblast	32	death metal	thrash metal	Loudblast
La Rue Kétanou	32	french	chanson francaise	La Rue Kétanou
Hans Zimmer	32	Soundtrack	instrumental	Hans Zimmer
David Bowie	32	rock	glam rock	David Bowie
The Spudmonsters	31	hardcore	seen live	The Spudmonsters
Mr Oizo	31	electronic	electro	Mr Oizo
Jacques Dutronc	31	french	chanson francaise	Jacques Dutronc
Beach Boys	31	classic rock	60s	Beach Boys
12	31	mistagged artist	turkish classical music	12
Sebastien Tellier - Mr Oizo - Sebastian	30	french	electronic	Sebastien Tellier - Mr Oizo - Sebastian
Bonus	30	seen live	Hip-Hop	Bonus
Nat King Cole	29	jazz	swing	Nat King Cole
Matmatah	29	rock	french	Matmatah
Digitalism	29	electronic	electro	Digitalism
Massive Attack	28	trip-hop	electronic	Massive Attack
Rancid	27	punk	punk rock	Rancid
Kaiser Chiefs	27	indie	indie rock	Kaiser Chiefs
Shakaponk	26	electronic	alternative	Shakaponk
Rammstein	26	industrial metal	metal	Rammstein
Fort Boyard	26	orchestra	Noise Pop Rock	Fort Boyard
Beattles	26	classic rock	rock	Beattles
Fredro Starr	25	Hip-Hop	rap	Fredro Starr
Fauve	25	french	indie	Fauve
Arctic Monkeys	25	indie rock	indie	Arctic Monkeys
Ignite	24	hardcore	melodic hardcore	Ignite
Diverse	24	Hip-Hop	underground hip-hop	Diverse
Yannick Noah	23	french	reggae	Yannick Noah
The Doors	23	classic rock	Psychedelic Rock	The Doors
Shania Twain	23	country	pop	Shania Twain
Public Service Broadcasting	23	seen live	experimental	Public Service Broadcasting
Louise Attaque	23	french	rock	Louise Attaque
Jean-Michel Jarre	23	electronic	ambient	Jean-Michel Jarre
Gold	23	seen live	post-punk	Gold
Channel Zero	23	thrash metal	seen live	Channel Zero
