groupe	genre
59 time the pain	punko-cool
acdc	rock classique
aerosmith	rock classique
agnostic front	punko-cool
air	electro
anti-flag	punko-cool
arch enemy	metal
artsonic	metal
axel red	french
axelle red	french
bad religion	punko-cool
beastie boys	hiphop
biohazard	metal
black bomb a	metal
boris	electro
clawfinger	metal
cock robin	rock classique
comeback kid	punko-cool
cycle	indus
dark tranquility	metal
david bowie	pop
deep forest	electro
deftones	metal
depeche mode	pop
die antwoord	metal
digitalism	electro
disturbed	metal
dropkick murphys	punko-cool
ed sheeran	pop
eisbrecher	indus
etienne daho	french
fatboy slim	electro
fauve	french
five finger death punch	metal
hatebreed	metal
heilung	metal
in flames	metal
indochine	french
infectious grooves	metal
iron maiden	rock classique
jean-michel jarre	electro
joey starr	hiphop
joy division	pop
korn	metal
kraftwerk	electro
la rue ketanou	reggae
lagwagon	punko-cool
les petits pilous	electro
loudblast	metal
louis armstrong	jazz
louise attaque	french
mass hysteria	metal
matmatah	french
mattafix	funk-soul-ska
megadeth	metal
metallica	metal
micky green	pop
micropoint	electro
moby	electro
modern talking	pop
morcheeba	funk-soul-ska
mr oizo	electro
mr oizo   	electro
muse	pop
mylene farmer	french
nick cave	rock classique
nick cave & the bad seeds	rock classique
no one is innocent	metal
no use for a name	punko-cool
nofx	punko-cool
onyx	hiphop
pennywise	punko-cools
propain	metal
rag'n'bone man	pop
red hot chili peppers	rock moderne
rob zombie	metal
sabres of paradise 	electro
satanic surfers	punko-cool
sepultura	metal
serge gainsbourg	french
shakaponk	rock moderne
sick of it all	metal
sidilarsen	metal
slayer	metal
soulfly	metal
spiral tribe	electro
sup	metal
the beatles	rock classique
the cranberries	rock moderne
the cure	pop
the dandy warhols	rock moderne
the do	rock moderne
the police	rock classique
the xx	rock moderne
twenty one pilots	rock moderne
wisdom in chains	metal
xmh	indus
painbastard	metal
frog leap studios	metal
liliac	metal
evanescence	metal
skillet	metal
front 242	metal
movie theme	metal
lard 	metal
manowar	metal
marilyn manson	metal
ministry	metal
vitalic	electro
refused	metal
nirvana	punko-cool
nyxx	metal
orgy	metal
rise of the northstar	metal
rammstein	metal
the prodigy	metal
silenzium	metal
shinedown	metal
slipknot	metal
system of a down	metal
terror	metal
the prodigy	indus
the offspring	punko-cool
the prodigy	metal
ultra vomit	metal
the prodigy	indus
walls of jericho	metal
the bosshoss	metal
xperiment	indus
p.o.d.	rock moderne
frog leap studios	metal
h blockx	indus
merauder	metal
pendulum	metal
prodigy	indus
gerry and the pacemakers	pop
busy p	electro
mylo	electro
lipps inc	electro
apocalyptica	metal
babylon zoo	electro
rancid	punko-cool
steve miller band	rock classique
the superman lover	punko-cool
jeff buckley	rock classique
the arrs	metal
nine inch nails	indus
public service broadcasting	electro
m	french
pro-pain	metal
avenged sevenfold	metal
skip the use	hiphop
kiss 	rock classique
black eyed peas	hiphop
massive attack	funk-soul-ska
moonspell	metal
europe	rock classique
bangles	rock classique
barry white	funk-soul-ska
manu chao	funk-soul-ska
far too loud	electro
inxs	pop
iggy pop	metal
jacques dutronc	french
jimmy hendrix	funk-soul-ska
julien clerc	french
lynyrd skynyrd	rock classique
queen	rock classique
rage against the machine	metal
rem	pop
kajagoogoo	pop
lou reed	pop
the doors	rock classique
the white stripes	rock classique
u2	pop
djedjotronic	electro
ub40	funk-soul-ska
daft punk	electro
dog eat dog	punko-cool
shaka ponk	punko-cool
killing joke	indus
lag wagon	punko-cool
téléphone	french
vivaldi	classique
barbra streisand	pop
caf  del mar	electro
cypress hill	hiphop
fugees	funk-soul-ska
indecision	metal
kaiser chiefs	rock moderne
les croquants	funk-soul-ska
major lazer	funk-soul-ska
mark  ronson	pop
moriarty	rock moderne
p i tcha kovski	classique
primal scream	pop
rag n bone man	pop
sade	pop
simian mobile disco	electro
the asteroids galaxy tour	pop
wax tailor	hiphop
wink	electro
zongamin	electro
vanessa paradis	french
angerfist	electro
masaaki endoh	pop
twenty one pilots	pop
maroon 5	pop
george michael	pop
status quo	pop
creedence	rock classique
satronica	electro
edith whiskers	pop
mastodon	metal
halestorm	metal
elvis presley	rock classique
bee gees	pop
van halen	rock classique
maneskin	metal
andy gibb	pop
marty robbins	rock classique
coldplay	pop
les mini-stars	variété
the smashing pumpkins	pop
la bouche	dancedisco
ark sano	pop
rammstein official	metal
sidaction	french
comedy	variété
aqme	metal
avatar	metal
biohazard	metal
blood command	metal
body count	metal
deftones	metal
oncle soul	jazz
justice	electro
perturbator	electro
